compound_name,chembl_id
ETHINYL ESTRADIOL,CHEMBL691
ETP-45658,CHEMBL4303351
ETP-46464,CHEMBL3334621
EUK-134,CHEMBL4303172
EVP-6124,CHEMBL2151572
EVP4593,CHEMBL522502
EW-7197,CHEMBL3260567
EX-527,CHEMBL420311
EXO-1,CHEMBL250428
Ebselen,CHEMBL51085
Encorafenib (LGX818),CHEMBL3301612
Endoxifen HCl,CHEMBL1093458
Epacadostat (INCB024360),CHEMBL3545369
Epirubicin Hydrochloride,CHEMBL1200981
F-11440,CHEMBL2104230
F351,CHEMBL4297288
FCE-22250,CHEMBL4303726
FERb-033,CHEMBL509051
FG-2216,CHEMBL426560
FG-7142,CHEMBL1256141
FGIN-1-27,CHEMBL63154
FGIN-1-43,CHEMBL98572
FH-535,CHEMBL2363137
FH1,CHEMBL478306
FIPI,CHEMBL398567
FK-33-824,CHEMBL4303387
FK-3311,CHEMBL4303327
FK-866,CHEMBL566757
FK-888,CHEMBL1416993
FLI-06,CHEMBL3604460
FLUDROCORTISONE ACETATE,CHEMBL1201010
FOSFOMYCIN CALCIUM,CHEMBL3188549
FPA-124,CHEMBL3191466
