source,term,count,studies_returned,has_nextPageToken
pubmed,"(""Dronedarone HCl (Multaq)""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(Dronedarone HCl (Multaq)) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""GW-803430""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (GW-803430) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NVP-ADW742""[Title/Abstract] AND ""AG-1478 (Tyrphostin AG-1478)""[Title/Abstract])",0.0,,
clinicaltrials,(NVP-ADW742) AND (AG-1478 (Tyrphostin AG-1478)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MCOPPB""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(MCOPPB) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""SB-268262""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (SB-268262) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""THIORIDAZINE HYDROCHLORIDE""[Title/Abstract] AND ""PENFLURIDOL""[Title/Abstract])",0.0,,
clinicaltrials,(THIORIDAZINE HYDROCHLORIDE) AND (PENFLURIDOL) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AS-1892802""[Title/Abstract] AND ""Lasofoxifene (Tartrate)""[Title/Abstract])",0.0,,
clinicaltrials,(AS-1892802) AND (Lasofoxifene (Tartrate)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""PD173074""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (PD173074) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AS-1892802""[Title/Abstract] AND ""7-methoxytacrine""[Title/Abstract])",0.0,,
clinicaltrials,(AS-1892802) AND (7-methoxytacrine) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""JHW-007""[Title/Abstract] AND ""NVP-ADW742""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (NVP-ADW742) AND (COVID-19 OR SARS-CoV-2),,0.0,False
